"Snake_ID","Snake_Name","Date","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector.1","Sector.2","Longitude","Latitude"
"PYBI_42","Ziggy","2/5/2018",1626,2018,"V",435666.000226106,2877022.00046044,"IB, IE, MH","active","male","scrub ",NA,NA,0,"slash pine","gallberry, saw palmetto","resting",NA,100,NA,NA,NA,NA,"DILLO ","healthy","coiled","normal",NA,0,NA,NA,NA,"1d3946f5-a2a7-48fb-9ae6-bf5a1516b0d5","Breeding","S","E",-81.64289036,26.0106541
"PYBI_38","Barron","2/6/2018",1721,2018,"P",428179.000010985,2882759.99996698,"IB, IE, MH","inactive","male","disturbed","urban / anthro",2,NA,NA,"primrose willow, aquatic vegetation","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"in same pond as before",NA,"636ea5d4-d530-42e3-8b0e-81c1fa45e396","Breeding","S","W",-81.718019,26.06211108
"PYBI_35","Ender","2/6/2018",1843,2018,"V",426715.999870371,2882724.99994184,"IB, IE, MH","active","male","pine upland / flatwoods",NA,NA,NA,"slash pine","saw palmetto","moving",NA,80,NA,NA,NA,NA,NA,"healthy",NA,"normal",NA,0,NA,"looks like he's on the move",NA,"b911f4ae-883c-4540-a2ad-d0b136a67d46","Breeding","S","W",-81.7326422,26.06172159
"PYBI_27","Malcolm","2/6/2018",1814,2018,"V",426698.99998456,2883037.0001534,NA,"active","male","mangrove swamp","lake / resevoire",NA,NA,"red mangrove","leather fern","basking",NA,40,26.7,26.5,NA,23.3,NA,"healthy","arboreal","normal",NA,0,NA,"about 10 ft up a tree! Highest we have seen yet",NA,"1601a865-2e09-4de6-9199-0be11e4c737e","Breeding","S","W",-81.73282967,26.06453779
"PYBI_34","Ronin","2/6/2018",1606,2018,"V",439427.999581836,2877318.00042266,"IB, IE, MH","active","male","agricultural retention ",NA,NA,NA,NA,"para","moving",NA,40,23.27,26.61,NA,20.2,NA,"healthy","outstretched","normal",NA,0,NA,"VERY close to XX/in same zone",NA,"12f13669-631e-4622-a1cf-551f571392f5","Breeding","N","E",-81.60531209,26.01348905
"PYBI_31","Vagus","2/6/2018",1649,2018,"P",446777.999727546,2872029.9997616,"IB, IE, MH","inactive","male","disturbed",NA,NA,NA,"cabbage palm, gumbo limbo","wax myrtle, myrsine, fern","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"8a7740e7-4413-4ef3-9369-fd14ef36e51d","Breeding",NA,NA,-81.53164941,25.96603
"PYBI_29","XX","2/6/2018",1521,2018,"P",439499.999519716,2877304.000438,"IB, IE, MH","inactive","male","agricultural retention",NA,2,NA,"willow","para","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"f74a37fe-a203-4481-9784-ba9824091164","Breeding","N","E",-81.60459196,26.01336565
"PYBI_37","Zeppelin","2/6/2018",1939,2018,"P",428603.999847068,2877261.00042319,"IB, IE, MH","inactive","male","scrub",NA,NA,0,NA,"saw palmetto, gallberry","not visible",NA,100,NA,NA,NA,NA,"NC",NA,NA,NA,NA,0,NA,"set up a camera, will grab tomorrow",NA,"82f6535e-a5d8-4340-a334-702a686fe819","Breeding","S","W",-81.7134699,26.01248107
"PYBI_32","Argo","2/7/2018",2022,2018,"P",434895.999955739,2883173.00000437,"IB, IE, MH","inactive","male","disturbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"was following a very clear signal when it all of a sudden dropped. Do not know exact location of snake, but think we were pretty close",NA,"317aa654-5157-4b3f-89dd-0905bd219a66","Breeding","N","E",-81.65089111,26.06615846
"PYBI_43","Jimi","2/7/2018",1924,2018,"P",435400.999869188,2880894.99975809,"IB, IE, MH","inactive","male","disturbed",NA,1,NA,NA,"concrete rubble","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"4275c84b-e6d1-441a-bdb6-b0f83ef69655","Breeding","N","E",-81.64572978,26.04561258
